Growth_Firm,question_2_row_1_transformed,question_2_row_2_transformed,question_3_row_1,question_3_row_2,question_3_row_3,question_3_row_4,question_3_row_5,question_3_row_6,question_3_row_7,question_3_row_8,question_3_row_9,question_3_row_10,question_3_row_11,question_3_row_12,question_3_row_13,question_3_row_14,question_3_row_15,question_3_row_16,question_4_row_1,question_4_row_2,question_4_row_3,question_4_row_4,question_5_row_1,question_5_row_2,question_5_row_3,question_5_row_4,question_5_row_5,question_5_row_6,question_5_row_7,question_5_row_8,question_5_row_9,question_5_row_10,question_6_row_1,question_6_row_2,question_7_row_1,size_metric
0,426.3157895,47.57969303,4,3,3,4,3,2,3,2,2,2,4,4,4,4,3,3,3,1,1,2,3,4,5,5,5,3,3,4, , ,4,4,1,4.76
0,57.89473684,53.29586101,4,4,4,4,4,4,4,4,4,4,2,4,3,2,3,3,2,4,2,4,1,3,2,4,3,2,4,1, , ,4,3,1,5.33
0,150,140.4037581,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,2,14.04
0,35.29411765,118.8715953,4,4,4,2,2,4,4,2,2,2,1,4,2,5,4,3,3,4,3,4,2,3,4,4,2,5,5,4,4,4,4,3,2,11.89
0,180.8988764,295.0419704,4,4,4,4,4,4,4,5,4,4,2,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,5,2,4,1,29.50
0,196.2962963,245.0655625,4,4,4,3,2,5,3,3,3,3,4,4,4,2,4,2,2,4,3,3,3,4,2,2,5,5,4,3, , ,3,4,2,24.51
0,1251.351351,873.7098345,4,4,5,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,3,3,3,3,4,5,3,4,4,4, , ,4,4,2,87.37
0,-57.62711864,-1.602473995,5,5,5,4,3,3,4,5,4,4,5,2,5,4,4,3,2,2,3,3,5,5,4,4,4,5,4,3, , ,5,5,2,-0.16
0,170.2702703,2035.92233,3,4,3,4,4,4,5,4,4,4,3,4,3,5,5,5,4,5,5,5,4,4,3,4,4,3,4,2,3,4,4,4,2,203.59
0,566.6666667,5449.389567,4,5,4,4,3,4,5,4,4,2,5,4,2,5,5,3,2,1,1,1,4,5,4,5,3,4,4,4,4,4,4,5,2,544.94
0,172.7272727,252.6093089,5,5,5,4,4,3,4,4,4,4,3,5,3,4,5,3,5,4,4,4,3,4,4,3,3,3,3,2, , ,5,3,2,25.26
0,138.0952381,185.1439977,4,5,4,5,3,4,4,5,5,4,2,3,2,2,5,2,4,4,4,4,4,4,2,5,2,5,5,4, , ,4,4,1,18.51
0,354.5454545,464.9717514,4,5,4,4,4,4,4,4,4,3,5,4,3,3,4,4,3,4,4,3,3,4,2,4,3,4,3,3,4,4,3,3,2,46.50
0,53.84615385,115.0537634,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,2,2,2,2,2,1,3,3,4,3,2,3,4,3,2,1,11.51
0,207.6923077,332.584852,5,5,5,5,5,5,5,5,4,4,3,5,3,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,1,33.26
0,122.2222222,171.3178295,5,5,4,5,4,3,3,5,4,5,5,3,3,4,3,3,3,2,2,3,5,4,3,4,4,3,4,4,4,4,4,4,2,17.13
0,169.2307692,190.5569007,3,3,4,4,4,5,4,5,4,4,4,3,3,4,4,5,4,3,4,4,5,5,4,5,5,4,4,4,5,5,4,4,2,19.06
0,194.1176471,176.0905577,4,4,4,4,4,4,4,4,4,3,5,3,3,3,4,2,2,2,1,2,2,2,2,4,3,3,4,3, , ,2,3,2,17.61
0,19.04761905,57.21969384,4,4,5,4,3,3,4,3,4,3,3,4,3,3,4,3,3,3,2,3,4,3,3,4,4,4,3,3, , ,2,3,1,5.72
0,1150,2342.002442,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,234.20
0,23.07692308,84.75568524,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,5,4,2,8.48
0,66.66666667,185.3067047,2,5,3,3,2,3,4,3,3,2,4,3,3,4,3,4,4,4,4,4,3,4,3,2,2,2,3,2,3,2,4,2,1,18.53
0,-6.666666667,-12.98294466,4,5,4,4,3,4,5,4,4,5,3,3,2,3,4,4,4,3,2,2,4,4,2,2,2,3,5,3, , ,5,3,1,-1.30
0,605.8823529,2477.366087,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,247.74
0,60.86956522,161.2822549,5,4,4,5,4,3,4,4,4,3,3,4,5,4,4,3,3,3,3,3,5,5,3,4,3,3,4,4, , ,4,3,2,16.13
0,900,226.2642741,4,4,5,4,4,4,4,5,4,3,4,4,5,4,4,3,4,4,4,3,3,4,3,4,4,4,4,4,3,4,3,2,2,22.63
0,366.6666667,387.3294347,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,2,2,2,2,3,4,4,4,4,4,4,3, , ,3,3,2,38.73
0,150,702.4072217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,70.24
0,117.3913043,120.6044562,5,5,5,5,5,5,4,4,4,5,4,5,3,4,5,5,4,4,4,4,4,4,4,3,5,5,4,4, , ,4,5,1,12.06
0,220,147.1576866,3,4,5,4,4,3,4,3,4,2,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,3,2,14.72
1,580.2721088,206.9085106,3,3,4,4,4,5,5,5,5,5,3,4,2,4,4,4,4,4,4,3,2,2,2,3,4,4,3,5,3,4,3,3,2,20.69
1,166.6666667,160.8695652,4,5,4,4,5,4,4,4,4,4,3,4,3,5,4,4,4,4,4,4,3,3,3,5,4,4,5,4,4,4,4,3,2,16.09
1,400,450.660793,2,4,3,4,2,2,4,4,4,2,5,2,2,4,4,3,3,4,4,4,4,3,4,4,2,3,4,4,2,2,5,3,1,45.07
1,7.296137339,79.90062649,5,5,5,5,5,4,5,5,5,5,4,5,4,4,4,4,5,5,5,5,4,4,4,5,4,5,5,5, , ,4,4,1,7.99
1,25,-78.35653993,4,4,3,5,4,3,3,5,4,3,3,3,3,5,4,4,4,2,2,2,3,5,4,3,3,5,5,4, , ,4,5,1,-7.84
1,372.972973,-13.0127579,5,5,5,5,4,4,4,5,5,4,3,4,3,5,5,5,5,5,5,5,5,5,2,5,4,5,4,3,4,4,5,5,2,-1.30
1,284.6153846,351.0309278,4,5,4,5,4,5,4,5,4,3,2,4,2,4,3,4,3,4,2,2,3,5,4,5,4,4,4,4,4,5,4,5,1,35.10
1,153.5211268,89.93352327,3,3,3,4,4,4,3,3,4,4,4,3,2,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4, , ,4,3,1,8.99
1,108.3333333,83.01610542,5,5,5,4,5,5,4,4,5,4,5,4,3,5,5,4,5,4,5,5,3,3,5,5,4,3,3,3, , ,4,3,2,8.30
1,200,267.4219228,3,4,4,5,4,4,4,4,3,2,4,3,4,4,5,4,3,2,2,2,4,5,3,5,4,5,4,4,5,5,2,3,2,26.74
1,20,128.5714286,4,5,5,4,4,5,5,5,5,5,4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,12.86
1,1076.470588,366.2004662,4,4,5,5,5,5,4,5,4,4,3,4,2,5,5,4,4,5,4,4,5,5,5,5,5,4,5,4,4,5,5,5,1,36.62
1,126.4150943,136.0595337,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,2,3,3,4,4,4,5,5,5, , ,4,3,2,13.61
1,334.7826087,742.7199697,4,4,4,4,4,4,5,4,3,3,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4, , ,4,3,2,74.27
1,92.30769231,259.7122302,3,3,4,4,4,4,3,4,4,3,2,4,3,3,4,3,3,3,3,3,3,4,3,4,4,3,4,3,3,4,3,3,2,25.97
1,102.7027027,133.3540759,4,5,5,5,4,4,5,5,4,4,2,3,3,4,5,4,5,5,4,4,4,4,3,4,4,4,4,5,5,5,4,4,2,13.34
1,31.81818182,228.3473185,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,3,4,4,4,4,2,4,4,5,4,4,4,4,4,2,1,22.83
1,59.09090909,58.290463,5,5,5,5,4,5,5,5,5,4,4,4,4,4,5,4,5,4,4,4,3,3,4,5,3,4,5,4, , ,4,4,2,5.83
1,156.4102564,351.681384,4,4,4,5,5,4,4,4,5,4,3,4,3,3,4,4,2,3,3,3,4,4,3,4,3,3,4,3, , ,4,2,2,35.17
1,120.5882353,194.205401,4,5,4,5,4,2,2,5,4,4,4,5,5,5,5,5,3,2,2,4,4,5,5,5,5,5,5,3,3,5,5,5,1,19.42
1,212.5,277.6435045,4,5,5,4,3,4,3,3,3,3,3,3,4,4,3,3,4,4,4,3,4,2,3,4,3,4,4,3,4,3,5,5,2,27.76
1,381.0996564,296.3614023,4,5,5,4,4,5,4,5,4,4,3,4,2,4,4,4,4,4,3,4,3,4,3,4,3,4,4,3,4,4,4,3,1,29.64
1,56.25,86.49757553,5,5,5,4,4,4,3,4,5,4,2,4,2,3,3,4,4,4,5,3,4,4,4,4,2,4,5,3,4,5,5,4,1,8.65
1,75.43859649,577.9661017,4,4,4,3,4,4,3,4,4,4,3,4,3,2,2,3,2,3,2,3,4,4,4,4,3,3,3,2,3,2,4,4,2,57.80
1,100,121.141088,4,5,4,5,4,5,5,4,5,4,5,5,5,5,4,4,4,4,4,4,4,5,4,5,2,4,4,4,4,4,4,4,2,12.11
1,263.6363636,44.92753623,5,4,4,5,4,5,4,4,4,4,4,5,5,5,4,4,2,2,2,2,3,5,3,4,5,4,3,4,3,4,3,3,2,4.49
1,300,347.0272687,4,5,4,5,3,4,4,5,4,3,3,3,2,4,5,3,3,3,3,2,5,5,5,5,4,5,4,4, , ,2,2,2,34.70
1,782.3529412,1009.631602,4,4,5,4,4,5,4,4,4,3,4,4,4,4,4,4,2,3,2,2,4,4,3,3,3,5,3,4,5,5,5,4,2,100.96
1,277.3584906,293.6021755,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,1,29.36
1,41.41414141,43.79735634,4,5,4,5,4,4,4,4,3,3,3,4,3,5,5,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,5,1,4.38
1,117.3913043,143.0724356,4,4,4,3,3,5,4,3,4,3,4,4,4,3,4,3,3,3,4,4,2,4,2,3,4,4,3,4,3,4,3,2,1,14.31
1,128.5714286,154.4529262,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,3,3,5,4,5,5,5,4,4,1,15.45
1,376.1904762,16103.05233,5,5,5,5,4,4,4,5,5,4,4,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,2,1610.31
1,59.09090909,133.3177788,4,4,4,4,5,4,4,3,3,2,2,4,4,3,4,3,3,3,2,4,3,2,2,3,2,4,3,2,2,2,5,4,2,13.33
1,263.6363636,296.1109111,5,5,5,5,5,4,5,5,4,4,4,4,3,4,5,5,4,4,4,3,4,5,3,5,4,5,4,3, , ,5,4,2,29.61
1,288.8888889,334.9717268,4,5,4,5,4,5,5,5,4,4,2,4,2,5,5,4,4,4,4,4,4,5,3,5,4,5,4,2,4,4,3,3,1,33.50
1,191.6666667,640.19245,4,5,5,5,4,5,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4, , ,5,4,2,64.02
1,92.30769231,274.3760399,4,3,4,4,3,3,4,4,4,2,4,5,4,1,4,4,3,4,3,5,2,2,4,4,4,5,3,4,5,5,2,4,1,27.44
1,733.3333333,2421.432173,5,5,5,5,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3, , ,5,4,2,242.14
1,66.66666667,184.3794434,2,4,2,4,3,4,3,3,3,1,1,2,1,3,3,3,3,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,2,18.44
1,104,294.3589462,4,4,4,5,4,4,4,4,3,3,2,4,3,4,4,4,4,2,4,4,4,5,4,4,4,5,2,3,5,5,4,4,2,29.44
1,233.3333333,1577.731305,4,4,2,4,5,4,5,4,4,4,1,2,1,2,5,2,4,4,4,4,2,4,4,5,4,5,5,5,5,5,5,5,1,157.77
1,38.88888889,56.49452269,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3,4,3,3,4,4,3,4,3,3,1,5.65
1,91.69329073,140.0896335,3,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,4,3,4,3,3,3,3,4,3,4,4,3,4,4,3,3,2,14.01
1,172.7272727,2075.09516,4,4,4,5,4,4,3,4,4,4,3,4,5,2,3,3,4,4,4,4,4,4,2,4,4,4,5,3,4,4,3,3,2,207.51
1,108.3333333,96.56663609,4,4,4,4,3,3,4,4,4,3,3,3,2,3,2,3,3,3,4,4,4,4,4,4,2,4,3,2,4,4,4,4,2,9.66
1,366.6666667,632.7796776,5,5,5,4,4,5,4,4,3,3,5,4,5,4,5,5,3,3,4,5,5,5,3,5,3,4,5,4,5,5,3,1,2,63.28
1,150,154.4529262,4,5,5,5,4,4,3,3,5,4,5,3,4,2,3,3,5,5,5,5,3,3,3,3,3,4,4,3,3,3,2,1,1,15.45
1,66.66666667,187.3563218,4,4,5,5,4,4,5,5,4,4,3,4,4,4,4,4,2,2,2,2,3,2,2,4,4,5,4,3,3,4,4,4,1,18.74
1,185.7142857,94.84441673,4,5,5,5,4,5,4,5,4,5,5,5,5,3,3,3,2,2,3,3,5,5,5,5,5,5,5,5,5,5,3,5,2,9.48
1,300,76.67844523,3,5,3,5,4,5,5,5,4,4,3,3,2,5,4,3,4,4,5,5,4,3,4,4,4,5,4,5, , ,4,3,1,7.67
1,9.375,232.7787022,5,3,5,5,5,5,5,5,5,4,5,5,4,2,5,5,2,2,2,2,1,5,5,5,5,2,5,5,4,2,5,3,2,23.28
1,316.6666667,284.7929814,4,4,5,5,5,5,5,4,4,4,3,4,3,5,5,5,4,3,4,4,5,4,4,4,4,5,5,4,5,4,5,4,1,28.48
1,71.42857143,78.78426698,3,3,4,4,3,4,4,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,2,4,1,7.88
1,31.29102845,12.00518761,4,5,4,4,4,4,4,4,5,3,2,4,4,4,4,3,3,3,4,4,3,5,3,4,3,4,4,4,4,5,5,3,2,1.20
1,50,235.8710255,4,5,4,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,4,4,2,3,2,5,5,5,5,5, , ,3,3,2,23.59
1,981.0810811,1159.252198,4,4,4,4,4,5,4,5,4,5,5,5,5,5,5,4,3,3,3,2,5,4,5,5,4,4,5,5, , ,3,3,2,115.93
1,227.8688525,1417.450683,3,4,4,3,2,4,3,3,3,3,4,4,4,3,3,3,3,2,2,2,2,2,2,2,3,3,3,4,3,3,3,4,2,141.75
1,316.6666667,446.149645,5,5,5,4,4,5,5,4,5,5,5,4,3,4,1,4,3,2,2,1,2,3,2,4,4,2,2,2,3,3,2,2,2,44.61
1,566.6666667,4996.839959,4,5,5,4,4,4,5,5,3,3,5,4,5,5,5,4,4,5,4,5,5,5,5,5,4,4,4,5,4,5,4,4,2,499.68
1,471.4285714,465.7708628,4,5,4,5,5,4,4,4,4,4,5,5,2,5,5,5,2,2,2,2,5,5,5,5,5,4,2,5,5,5,1,1,2,46.58
1,33.33333333,19.6888091,3,4,4,2,4,4,4,3,3,3,2,3,2,1,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,1,1.97
